zipcode,order,sigma2
33756,"(1, 0, 2)",0.00011467209601977129
33810,"(0, 0, 3)",8.791995288553806e-05
33837,"(2, 0, 2)",0.00010452816407551712
33884,"(2, 0, 2)",0.00010645157864242781
33897,"(0, 0, 4)",0.00021639659592566197
33904,"(2, 0, 2)",0.0001805733851470211
33909,"(1, 0, 2)",0.00013315751920837552
33914,"(2, 0, 2)",0.00012496064202865387
34104,"(0, 0, 3)",0.0002770555101105618
34108,"(1, 0, 2)",0.0004145388202373614
34119,"(4, 0, 0)",0.00032686117392905515
34231,"(3, 0, 2)",0.00022710173862889327
34238,"(2, 0, 2)",0.00018366135573549933
34243,"(1, 0, 3)",0.0001975836881237811
34683,"(0, 0, 4)",0.00014957574195290752
34698,"(2, 0, 2)",0.00011321989542805313
34711,"(2, 0, 2)",4.312057262579053e-05
34741,"(0, 0, 3)",7.30047848819298e-05
34744,"(2, 0, 2)",8.978514869598794e-05
34746,"(0, 0, 3)",7.08880928147993e-05
34747,"(1, 0, 2)",8.585139372609704e-05
34758,"(2, 0, 2)",8.543989009591114e-05
34759,"(4, 0, 0)",9.831812035454746e-05
34787,"(0, 0, 4)",4.1599690502752706e-05
37013,"(0, 0, 3)",4.312453460801915e-05
37040,"(0, 0, 3)",3.563334584668384e-05
37042,"(0, 0, 3)",2.1867698097716823e-05
37174,"(2, 0, 2)",4.411368292064756e-05
37211,"(0, 0, 4)",6.062700628234573e-05
38016,"(3, 0, 3)",4.2930605478460254e-05
38018,"(0, 0, 3)",5.493776731635109e-05
38104,"(3, 0, 2)",0.0001504327806436007
38111,"(3, 0, 0)",0.0001297616980859947
38128,"(1, 0, 2)",7.303363001153437e-05
38134,"(1, 0, 2)",4.17777305420529e-05
40509,"(0, 0, 3)",3.941030865928565e-05
43201,"(0, 0, 3)",5.954186691318908e-05
44118,"(2, 0, 3)",0.00010925818803785886
46143,"(0, 0, 3)",9.978602996922531e-05
46201,"(0, 0, 3)",7.168466101075033e-05
46203,"(3, 0, 4)",8.252496513170844e-05
46205,"(2, 0, 3)",0.00010827734482558804
46222,"(0, 0, 3)",0.00011565984237599292
46226,"(1, 0, 2)",4.598343893798796e-05
46235,"(1, 0, 3)",6.800071747322025e-05
48067,"(0, 0, 3)",7.340814900583805e-05
48073,"(0, 0, 3)",0.0001263856499623814
48089,"(0, 0, 3)",0.00010564241073395554
48103,"(0, 0, 4)",7.83401006083691e-05
48104,"(0, 0, 3)",0.00011790944671968877
48197,"(1, 0, 3)",0.0001398543239160843
48220,"(0, 0, 0)",0.00017143103930195282
49503,"(3, 0, 0)",8.213170725767357e-05
49504,"(1, 0, 2)",8.312061257776101e-05
49506,"(3, 0, 0)",0.00013476966071281554
49507,"(0, 0, 3)",0.00011425983908490681
55104,"(1, 0, 0)",7.823964278004998e-05
55408,"(2, 0, 2)",6.973811726564849e-05
55416,"(2, 0, 2)",5.706879997903125e-05
59102,"(0, 0, 4)",7.203232302453918e-05
60193,"(0, 0, 4)",4.7465361888705364e-05
60201,"(1, 0, 0)",0.00010744838190154068
60504,"(3, 0, 0)",6.932015113826085e-05
60563,"(0, 0, 3)",5.8003618424682774e-05
60601,"(0, 0, 2)",0.00012206617296423647
60605,"(2, 0, 2)",7.973896425761654e-05
60607,"(2, 0, 2)",4.753635723940638e-05
60608,"(2, 0, 2)",7.727826990479899e-05
60610,"(1, 0, 2)",5.5089137000839805e-05
60611,"(3, 0, 4)",2.7483786005395564e-05
60612,"(3, 0, 3)",8.40319783037848e-05
60613,"(3, 0, 3)",2.4090008385836176e-05
60614,"(0, 0, 2)",5.745676343665225e-05
60615,"(1, 0, 3)",5.23760490811148e-05
60616,"(1, 0, 3)",6.79895027665208e-05
60618,"(0, 0, 4)",3.38426658843162e-05
60619,"(0, 0, 3)",8.422020289381715e-05
60622,"(3, 0, 4)",3.869502128830085e-05
60625,"(2, 0, 2)",3.818012234386071e-05
60626,"(2, 0, 2)",2.3853300937592822e-05
60637,"(3, 0, 0)",5.544683915170307e-05
60640,"(1, 0, 2)",3.164035824451293e-05
60641,"(0, 0, 3)",4.945332517033698e-05
60642,"(1, 0, 2)",9.175717760210796e-05
60645,"(4, 0, 2)",6.284290404275147e-05
60647,"(1, 0, 2)",4.688419986070206e-05
60649,"(1, 0, 3)",5.926781631048942e-05
60653,"(0, 0, 3)",9.757083809585303e-05
60654,"(3, 0, 3)",6.074389793676866e-05
60657,"(4, 0, 3)",2.635397424356133e-05
60660,"(0, 0, 4)",3.2325449561645295e-05
63031,"(1, 0, 4)",9.733964550760597e-05
63116,"(0, 0, 3)",8.231862998030374e-05
63130,"(2, 0, 3)",0.0001383661625535815
63139,"(0, 0, 3)",6.238994558965424e-05
64134,"(1, 0, 3)",5.832283903931943e-05
66441,"(0, 0, 3)",3.841759420775314e-05
66502,"(1, 0, 3)",4.1107008610461714e-05
72205,"(3, 0, 0)",0.00011243229658073082
72712,"(3, 0, 2)",6.755162121970586e-05
73012,"(1, 0, 2)",3.170846828045134e-05
73013,"(0, 0, 3)",2.8168073426416194e-05
73071,"(1, 0, 3)",0.00010545924658206318
73099,"(1, 0, 2)",5.286538555694343e-05
73160,"(1, 0, 2)",2.0268465210554933e-05
74012,"(0, 0, 4)",3.98862876812496e-05
75002,"(2, 0, 2)",5.1554968311000685e-05
75013,"(1, 0, 2)",3.674360668612153e-05
75019,"(1, 0, 2)",6.202422634082568e-05
75023,"(1, 0, 2)",8.041690080991887e-05
75024,"(0, 0, 2)",5.0979225578258236e-05
75025,"(1, 0, 2)",4.857273836224144e-05
75028,"(1, 0, 2)",3.692779908755303e-05
75033,"(1, 0, 2)",4.646057891810348e-05
75034,"(2, 0, 2)",4.8094026741336214e-05
75035,"(2, 0, 2)",3.214575678820237e-05
75043,"(3, 0, 0)",8.30226713984099e-05
75052,"(0, 0, 2)",2.958398138944381e-05
75056,"(1, 0, 2)",5.129183529956205e-05
75067,"(1, 0, 0)",6.383133763388647e-05
75068,"(1, 0, 2)",4.209564288980618e-05
75071,"(1, 0, 2)",3.5129066886014944e-05
75074,"(1, 0, 2)",5.884299318091197e-05
75104,"(0, 0, 4)",5.016194095460706e-05
75126,"(1, 0, 2)",4.7076620559394325e-05
75204,"(2, 0, 2)",4.9360798393432335e-05
75205,"(0, 0, 3)",0.00012808766139275397
